,node_1,node_2,k_degree_1,k_degree_2,eccentricity_1,eccentricity_2,triangles_1,triangles_2,clique_num_1,clique_num_2,coreness_1,coreness_2,betweenness_centrality_1,betweenness_centrality_2,closeness_centrality_1,closeness_centrality_2,harmonic_centrality_1,harmonic_centrality_2,eigenvector_centrality_1,eigenvector_centrality_2,decay_centrality_1,decay_centrality_2,pagerank_1,pagerank_2,katz_centrality_1,katz_centrality_2,local_clustering_coeff_1,local_clustering_coeff_2,global_clustering_coeff_1,global_clustering_coeff_2,shannon_diversity_1,shannon_diversity_2,neighborhood_density_1,neighborhood_density_2,rwr_1,rwr_2,lrw_1,lrw_2,are_connected,common_triangles,common_neighbors,cosine_similarity,pearson_similarity,euclidean_distance,manhattan_distance,hamming_distance,rand_index,jaccard_index,sorenson_dice,hub_promoted,hub_depressed,lhn,res_alloc,adamic_adar,pref_attach,overlap_coeff,nbd_overlap,edge_conn,avg_commute_time,cosine_l,l_plus,mfi,label
0,0,1,16,8,1.0,2.0,18,12,5,5,4,4,88.41666666666666,7.75,1.0,0.9,1.0,0.9444444444444444,1.0,0.96924073299106,8.0,4.0,0.22490473695898955,0.18159708807555924,0.4602474611759638,0.40838568701849387,0.15,0.42857142857142855,0.36231884057971014,0.5757575757575758,1.0,1.0,0.25,0.4666666666666667,0.33530406225859927,0.29721509744451713,0.22490473695898955,0.18159708807555924,1,7,9,0.9415130835240083,0.9020105546236578,3.0,7,0.3888888888888889,0.6444836880750999,0.5,0.6666666666666666,0.7777777777777778,0.4375,0.04861111111111111,2.05,6.130716871863356,144,0.7777777777777778,0.5625,8,0.06640532918500049,0.22947059894672406,0.027734595081863156,0.04053624428108815,1
1,0,2,16,6,1.0,2.0,18,10,5,5,4,4,88.41666666666666,2.25,1.0,0.7142857142857143,1.0,0.8,1.0,0.8566275380473688,8.0,3.0,0.22490473695898955,0.13060383617745283,0.4602474611759638,0.3627419198162198,0.15,0.6666666666666667,0.36231884057971014,0.5625,1.0,1.0,0.25,0.38181818181818183,0.33530406225859927,0.26095053551063807,0.22490473695898955,0.13060383617745283,1,5,7,0.8682431421244591,0.7699547582295538,3.4641016151377544,8,0.4444444444444444,0.42133131618759456,0.3333333333333333,0.5,0.5,0.3125,0.03125,0.9277777777777778,2.9772476294283714,160,0.5,0.3684210526315789,5,0.06174819690177369,0.039018388536005574,0.0041850575413706435,0.03252644075747638,0
2,0,3,16,6,1.0,1.0,18,10,5,5,4,4,88.41666666666666,2.25,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,0.22490473695898955,0.18433699645765958,0.4602474611759638,0.4189724793956577,0.15,0.6666666666666667,0.36231884057971014,0.8095238095238095,1.0,1.0,0.25,0.7619047619047619,0.33530406225859927,0.2915043983829306,0.22490473695898955,0.18433699645765958,1,5,7,0.7867957924694431,0.6448778376969204,4.47213595499958,10,0.5555555555555556,0.47575809491176974,0.4117647058823529,0.5833333333333334,0.8333333333333334,0.3125,0.052083333333333336,1.1611111111111112,3.6747915911097273,96,0.8333333333333334,0.4666666666666667,5,0.051261843082783164,0.2291194853098845,0.03328727017354589,0.04263506158730844,1
3,0,4,16,3,1.0,1.0,18,2,5,3,4,2,88.41666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,8.0,1.5,0.22490473695898955,0.2952127659574468,0.4602474611759638,0.5212466883221976,0.15,0.6666666666666666,0.36231884057971014,0.75,1.0,1.0,0.25,0.8333333333333334,0.33530406225859927,0.37759049461177124,0.22490473695898955,0.2952127659574468,1,2,4,0.6537204504606134,0.5745781189171698,5.0,13,0.7222222222222222,0.18424170616113744,0.23529411764705882,0.38095238095238093,0.6666666666666666,0.125,0.041666666666666664,0.5833333333333333,1.631586747071319,48,0.6666666666666666,0.26666666666666666,3,0.027576197387518087,0.282000767769254,0.06106902763091463,0.04699549960938419,0
4,0,5,16,3,1.0,2.0,18,2,5,3,4,2,88.41666666666666,0.5,1.0,0.8,1.0,0.875,1.0,0.840665321802489,8.0,1.5,0.22490473695898955,0.2124087591240876,0.4602474611759638,0.4552508876165909,0.15,0.6666666666666666,0.36231884057971014,0.6428571428571429,1.0,1.0,0.25,0.7,0.33530406225859927,0.3163178307751453,0.22490473695898955,0.2124087591240876,1,2,4,0.7867957924694431,0.7295424304593129,4.47213595499958,12,0.6666666666666666,0.3051988725336674,0.2222222222222222,0.3636363636363636,0.5,0.125,0.03125,0.5833333333333333,1.631586747071319,64,0.5,0.25,3,0.02923076923076917,0.2694510044418517,0.05616706684660086,0.04338046117789312,0
5,0,6,16,3,1.0,2.0,18,2,5,3,4,2,88.41666666666666,0.5,1.0,0.8,1.0,0.875,1.0,0.8406653218024888,8.0,1.5,0.22490473695898955,0.2124087591240876,0.4602474611759638,0.4552508876165909,0.15,0.6666666666666666,0.36231884057971014,0.6428571428571429,1.0,1.0,0.25,0.7,0.33530406225859927,0.31631783077514536,0.22490473695898955,0.2124087591240876,1,2,4,0.7867957924694431,0.7295424304593129,4.47213595499958,12,0.6666666666666666,0.3051988725336674,0.2222222222222222,0.3636363636363636,0.5,0.125,0.03125,0.5833333333333333,1.631586747071319,64,0.5,0.25,2,0.029230769230769164,0.2694510044418517,0.056167066846600874,0.043380461177893154,0
6,0,7,16,4,1.0,1.0,18,6,5,5,4,4,88.41666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,8.0,2.0,0.22490473695898955,0.2,0.4602474611759638,0.44721359549995787,0.15,1.0,0.36231884057971014,1.0,1.0,1.0,0.25,1.0,0.33530406225859927,0.29896907216494845,0.22490473695898955,0.2,1,3,5,0.5728918992315463,0.3600976668493281,5.291502622129181,12,0.6666666666666666,0.334031920038691,0.29411764705882354,0.45454545454545453,0.75,0.1875,0.046875,0.37777777777777777,1.4475247217679177,64,0.75,0.3333333333333333,4,0.03972612303542441,0.1961936045274511,0.032794477803002015,0.04266075685522649,1
7,0,8,16,2,1.0,2.0,18,1,5,4,4,2,88.41666666666666,0.0,1.0,0.625,1.0,0.7000000000000001,1.0,0.47251636007872183,8.0,1.0,0.22490473695898955,0.10973438797380142,0.4602474611759638,0.35374218971065,0.15,1.0,0.36231884057971014,0.6923076923076923,1.0,1.0,0.25,0.6666666666666667,0.33530406225859927,0.23989762328452774,0.22490473695898955,0.10973438797380142,1,1,3,0.45760431532242946,0.1391778001278442,5.5677643628300215,15,0.8333333333333334,0.01652892561983471,0.15,0.2608695652173913,0.2,0.0625,0.0125,0.1,0.43429448190325176,80,0.2,0.16666666666666666,2,0.03985648756509765,-0.030271690217571572,-0.0043607753501431895,0.030548636909043327,0
8,0,9,16,1,1.0,2.0,18,0,5,2,4,1,88.41666666666666,0.0,1.0,0.6666666666666666,1.0,0.75,1.0,0.7071067811865477,8.0,0.5,0.22490473695898955,0.25675675675675674,0.4602474611759638,0.5598852608963282,0.15,0.0,0.36231884057971014,0.0,1.0,1.0,0.25,0.6666666666666666,0.33530406225859927,0.34527027027027024,0.22490473695898955,0.25675675675675674,0,0,1,0.36980013081681945,0.15404159684748153,5.830951894845301,16,0.8888888888888888,0.011889035667107,0.05263157894736842,0.1,0.5,0.0625,0.03125,0.1,0.43429448190325176,32,0.0625,0.058823529411764705,2,0.018914577348657598,-0.1328716512532135,-0.029678876924699463,0.016478722469620462,0
9,0,10,16,3,1.0,1.0,18,2,5,3,4,2,88.41666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,8.0,1.5,0.22490473695898955,0.2952127659574468,0.4602474611759638,0.5212466883221976,0.15,0.6666666666666666,0.36231884057971014,0.75,1.0,1.0,0.25,0.8333333333333334,0.33530406225859927,0.3775904946117712,0.22490473695898955,0.2952127659574468,1,2,4,0.6537204504606134,0.5745781189171698,5.0,13,0.7222222222222222,0.18424170616113744,0.23529411764705882,0.38095238095238093,0.6666666666666666,0.125,0.041666666666666664,0.5833333333333333,1.631586747071319,48,0.6666666666666666,0.26666666666666666,2,0.027576197387518077,0.2820007677692538,0.061069027630914596,0.04699549960938421,0
